german,english
Kyffhäuser large-scale nature conservation project,
Large-scale nature conservation project in the Thuringian Rhön,
Awarded annually since 1993 by the Gesellschaft Deutscher Chemiker and the Deutsche Bunsen-Gesellschaft für Physikalische Chemie for outstanding work on the history of scientific instruments,
Collection des Guides-Joanne,
Kulturraumforschung,cultural space research
Jan-Wellem-Ring of the city of Düsseldorf,
Himmelsrichtung,cardinal direction
Geschützte Natur,Geschützte Natur
Naturlandschaft,natural landscape
Kulturlandschaft,Kulturlandschaft
Joseph Kuhl Society Homeland Prize for special services to the city of Jülich,
Abgrusung,disapproval
Moorlandschaft,moorland
Landschaft,landscape
Landschaftsökologie,landscape ecology
Verwitterung,weathering
Grätzl,neighborhood
Großstadt,metropolis
Siedlung,settlement
Gräftenhof,moat farm
Wohnsiedlung,residential area
Ortung,location
Fernerkundung,remote sensing
Katastervermessung,cadastral survey
Kartierung,mapping
Geodätisches Instrument,Geodetic instrument
Blänke,glint
Eutrophierung,eutrophication
Wasserversorgung,water supply
Gewässer,Gewässer
Wasserverschmutzung,water pollution
Würzburg lying stones,
Fossile Armfüßer,Fossil brachiopods
Fossile Säugetiere,Fossil mammals
Friedrich von Alberti Prize,
Paläontologie,paleontology
Fossile Kopffüßer,Fossil cephalopods
Fossile Vögel,Fossile Vögel
Wiehengebirgsjäger,
Largest known ammonite species in the history of the earth; the first specimen found is in the LWL-Museum für Naturkunde in Münster (Westf),
Fossile Wiederkäuer,Fossil ruminants
Gräfenberg array,
Tiefseebohrung,deep-sea drilling
Krustenbewegung,crustal movement
Strahlengleichung,Strahlengleichung
Würm glacial period,
Böhlen layers,
Pleistozän,Pleistocene
Dülmen layers,
Röt shell limestone boundary,
Obereozän,Upper Pleistocene
Stufe des Eozäns,Eocene stage
Bohrung,Bohrung
Auslaugung,leaching
Glasschörl,glass bead
Krustenbildung,crust formation
Höttinger Breccie,Hötting breccia
Höttinger breccia,Hötting breccia
Höhle,cave
Vergrusung,grit
Rotgültigerz,red ore
Sulfidlagerstätte,sulfide deposit
Tiefbohrung,deep drilling
Aachen bluestone,
Kallmünz geology,
"Kalmünzer,Geology",
"An ore whose main deposit is located in Central Africa and from which the metal tantalum (Ta) is primarily extracted. The name ""coltan"" is derived from the mineral group columbite-tantalite (coltan = short form). Columbite itself (according to Römpp) is a niobite and tantalite. Coltan is classified as a conflict mineral. Coltan mining in the Congo is mainly concentrated in the Lake Kivu region in the Democratic Republic of the Congo. Internationally known since 2004 due to the battles over exploitation rights between Rwanda and Congo. Coltan is a necessary raw material for the computer and cell phone industry.",
Römerite,Romanism
Rädelerz,
Rädlerz,
Hösbachite,
Vereisung,icing
Eisbildung,ice formation
Einstrahlung,irradiation
Außerirdisches Leben,Extraterrestrial life
Satellitenfernerkundung,satellite remote sensing
Sonnenstrahlung,solar radiation
Weltraumforschung,space exploration
Krummflächensonnenuhr,curved surface sundial
Hohlflächensonnenuhr,concave sundial
Zeiteinheit,unit of time
Strahlung,radiation
Entfernung,distance
Die mechanics,The mechanics
Phasenumwandlung,Phasenumwandlung
Maßeinheit,Maßeinheit
Allgemeine Relativitätstheorie,General theory of relativity
"In mathematical physics, Lieb-Thirring inequalities give an upper bound on the sums of powers of negative eigenvalues of a Schrödinger operator.",
Strömung,flow
Impulserhaltung,conservation of momentum
Wechselwirkung,interaction
Geschwindigkeit,speed
Hohlmaß,capacity measure
Magnetische Doppelbrechung,Magnetische Doppelbrechung
Elektromagnetische Strahlung,Electromagnetic radiation
Quenchen,quenching
Für die Farbe,For the color
CALOS,
Messung,measurement
Festkörperphysik,Festkörperphysik
Kosmische Hintergrundstrahlung,Cosmic background radiation
Streuung,dispersion
Teilchenbewegung,particle motion
Neutronenstreuung,neutron scattering
Müonium,muonium
Ionisierende Strahlung,Ionizing radiation
Charm-Teilchen,Charm particle
Elementarteilchen,elementary particles
Particle detector at COSY in Jülich,
Atomstreuung,nuclear scattering
Supersymmetrisches Teilchen,Supersymmetric particle
Teilchenstrahlung,particle radiation
Radioaktivität,radioactivity
Kosmische Strahlung,Cosmic radiation
Isotopentrennung,isotope separation
"Kopplung,Physik","Coupling, physics"
Starke Kopplung,Strong coupling
Gasentladung,gas discharge
Teilchen,particles
Superstrahlung,superradiation
Supraleitung,superconductivity
Grüneisen parameters,
Bandstrukturberechnung,band structure calculation
Strukturverfeinerung,structural refinement
Festkörper,solid
Austauschkopplung,exchange coupling
Deltadotierung,delta doping
Störstelle,Störstelle
Bremsstrahlung isochromat spectroscopy,Braking radiation isochromatic spectroscopy
Dünne Schicht,Thin layer
Numerische Strömungssimulation,Numerical flow simulation
Jubiläum,anniversary
Van der Waals cluster,
Van der Waals force,
Modifizierung,modification
Regioselektivität,regional selectivity
Übergangsmetall,transition metal
Supramolekül,supramolecule
Molekülverbindungen,molecular compounds
Veraschen,Cremation
Fluorochromierung,fluorochroming
Komarowsky von Fellenberg reaction,
Lichtstreuung,light scattering
Gammastrahlung,
"Family of small extracellular proteins that have an 8-stranded ß-barrel as a common supersecondary structure, with the help of which they can bind and transport small hydrophobic molecules",
Calcium bis(metaphosphate),
Sodium zirconium hydrogen bis(phosphate),
Fünfringheterocyclen,five-ring heterocycles
"Bisdimethylaminophenothiazinylium chloride,3,7-bis(dimethylamino)-phenothiazinylium chloride",
Molekül,molecule
Sekundärmetabolit,secondary metabolite
Glykosylierung,glycosylation
Umlagerung,relocation
Ökologie,ecology
Ökosystem,ecological system
Begriff der biologischen Systematik,Concept of biological systematics
Biodiversität,biodiversity
Geschlechtsbestimmung,sex determination
Geschlechtsdifferenzierung,gender differentiation
Bastardierung,bastardization
Sicherheit,safety
Gentechnisch veränderter Organismus,Genetically modified organism
Klonierung,cloning
Genklonierung,Genklonierung
Genkartierung,gene mapping
Aminosäuren,amino acids
RNS-abhängige-RNS-Polymerasen,
RNA-abhängige-RNA-Polymerasen,
Zelldifferenzierung,cell differentiation
Desmoglein 1,
Desmoglein 2,
Desmoglein 3,
Zell-Adhäsionsmolekül,cell adhesion molecule
Synuclein,
Geninaktivierung,gene inactivation
Synuclein alpha-,
"Synuclein,α-",
α-Synuclein,
"Synuclein,alpha-",
Alpha-synuclein,
Fälbling,
Art des Gießkannenschimmels,
Essigsäurebakterien,acetic acid bacteria
"Microsporidium, first described by Wieser in Zeitschrift für angewandte Entomologie 40 (1957)",
Torulaspora delbrückii,
"Hybridisierung,Biologie","Hybridization, Biology"
"On the one hand, genetic analysis is an important medical term (Pschyrembel: Detection of a gene mutation for the differential diagnosis of hereditary diseases and as a basis for genetic counselling) and, on the other hand, the detection of the genes or alleles involved in the phenotype of an organism, including their organization in the genome (Reallex. Med. from 1977). According to Römpp (10th ed.), genome analysis is understood as the sequencing of all base pairs of the genome (content of the genome projects) as well as the connection between sequence and trait, the latter corresponding to gene analysis.",
Renormierung,renormalization
Regularisierung,regularization
Mannigfaltigkeit,diversity
Gleichung,equation
Oberfläche,surface
Tripartite division of an angle,Division of an angle into three parts
Differentialgleichung,differential equation
Verallgemeinerung,generalization
Generalisierung,generalization
Matrizenzerlegung,matrix decomposition
Konstruktion mit Zirkel und Lineal,Konstruktion mit Zirkel und Lineal
Integralgleichung,integral equation
"Lösung,Mathematik","Solution, Mathematics"
Ungleichung,Ungleichung
"DEM,Mathematics",
Partielle Differentialgleichung,Partial differential equation
Integrodifferentialgleichung,integral differential equation
"Abbildung,Mathematik","Illustration, Mathematics"
Kähler Differents,
"Varietät,Mathematik","Variety, Mathematics"
Hölder room,
Banach space of bounded continuous functions defined on an n-dimensional Euclidean space and satisfying the Hölder condition,
Fuzzy-ODER,Fuzzy OR
Fuzzy-UND,fuzzy AND
Möbius minimum area,
Schrödinger-Poisson system,
System von partiellen Differentialgleichungen,System of partial differential equations
Evolutionsgleichung,evolutionary equation
Pólya-Szegö principle,
Pólya-Szegö inequality,
Szegö inequality,
Müller matrix,
The concept of the Müller matrix allows the transformation of Stokes vectors. Stokes vectors describe the polarization of an electromagnetic wave.,
Gewöhnliche Differentialgleichung,Ordinary differential equation
Euler-Lagrange-Gleichung,
Variationsrechnung,
Von Neumann algebra,
Maßtheorie,measure theory
Geometrische Maßtheorie,Geometric measurement theory
Optimierung,optimization
Standortplanung,site planning
Kombinatorische Optimierung,Combinatorial optimization
Wahrscheinlichkeitsrechnung,probability theory
Wahrscheinlichkeitsverteilung,probability distribution
Risikomaß,risk measure
Tourenplanung,tour planning
"A measure-valued Markov process that plays an important role as a limit value of systems of branching Brownian particles or other interacting particle systems. (Mörters, TU Berlin)",
Brownsche Bewegung,Brownian motion
"Procedure for comparing models based on the maximum likelihood estimation method. Two models are compared in each case: an initial model, which generally contains several model parameters, and a comparison model in which restrictions are imposed on one or more of these parameters. The comparison is always used to check whether the unrestricted model is significantly ""better"" than the restricted model, i.e. has a better fit. If this is not the case, the restricted model is preferable because it is simpler (and yet not worse in terms of explanatory power). (ILMES - Internet-Lexikon der Methoden der empirischen Sozialforschung)",
Nadayara-Watson-Glätter,
Forschung,research
Strömungsmechanik,fluid mechanics
Unsicherheit,uncertainty
Bildverarbeitung,image processing
Mustererkennung,pattern recognition
Softwareproduktionsumgebung,software production environment
Programmierumgebung,programming environment
Programmierung,programming
Visualisierung,visualization
Geometrieverarbeitung,geometry processing
Bürocomputer,office computer
Softwareentwicklung,software development
LAN-LAN-Kopplung,LAN-LAN coupling
LAN-WAN-Kopplung,LAN-WAN connection
LAN-WAN-LAN-Kopplung,LAN-WAN-LAN connection
Transaktionsverarbeitung,transaction processing
Dialogverarbeitung,dialogue processing
Codierung,coding
Evolutionärer Algorithmus,Evolutionary algorithm
Datensicherung,data backup
Datenverwaltung,data management
Geometrische Modellierung,Geometric modeling
Kalkül,Kalkül
Virtuelle Realität,Virtual reality
Datenverarbeitung,Datenverarbeitung
Tonträger,sound recording
Schriftzeichen,characters
Büchi vending machine,Büchi vending machine
Prädikatenlogik,Prädikatenlogik
"Zerlegung,Mathematik","Decomposition, mathematics"
Subsymbolische Verarbeitung,Subsymbolische Verarbeitung
Informationsverarbeitung,Informationsverarbeitung
Lindström-Quantor,
Lindström quantifies,
Verdeckungsrechnung,concealment calculation
Computersicherheit,computer security
Komplexitätstheorie,theory of complexity
Künstliche Intelligenz,Artificial intelligence
Objektorientierung,object orientation
Informationssicherheit,information security
Speicherverwaltung,Speicherverwaltung
"Computer programs that adopt the robustness, adaptability and creativity of real social systems (Gesellschaft für Informatik)",
Computerkriminalität,cybercrime
Computerunterstützte Kommunikation,Computer-assisted communication
Nichtflüchtiger Speicher,Non-volatile memory
Systementwicklung,system development
Benutzeroberfläche,Benutzeroberfläche
Datenübertragung,data transfer
Agile Softwareentwicklung,Agile Softwareentwicklung
Wissenschaft,science
"Erweiterte Realität,Informatik","Augmented reality, computer science"
Modellierung,modeling
Wissensrepräsentation,Wissensrepräsentation
Textverarbeitung,word processing
Dateiverwaltung,file management
Natürliche Sprache,Natural language
Bewertung,Bewertung
Benutzerführung,user guidance
Berechnung,calculation
Maßnahme,measure
Graphische Benutzeroberfläche,Graphical user interface
Emissionsverringerung,emissions reduction
Tübingen database of conflicts in East-West relations,
Ausleihverbuchung,loan registration
Gödel programming language,
Büroarbeit,office work
Netzwerkverwaltung,network management
Abrechnung,settlement
Katalogisierung,cataloging
Portabilität,portability
Entwicklung,development
Landwirtschaft,agriculture
Terminplanung,scheduling
Standard zur Schriftzeichencodierung,Character encoding standard
Großrechner,Großrechner
Präsentationsgrafik,Präsentationsgrafik
Energieversorgung,energy supply
Programm vor allem zur Datenbankentwicklung,Program primarily for database development
Wohnung,Wohnung
Elektronische Schaltung,
Bauplanung,construction planning
"Sprache und Notation zur Spezifikation, Konstruktion, Visualisierung und Dokumentation von Modellen für Softwaresystem (B. Oestereich)","Language and notation for the specification, construction, visualization, and documentation of models for software systems (B. Oestereich)"
Format zur Portierung von Dokumenten (Dateien),Format for transferring documents (files)
Parallelverarbeitung,parallel processing
Maschinelle Übersetzung,Machine translation
"Softwaresammlung, die das Überwachen, Authentifizieren und Protokollieren innerhalb von an das Internet angeschlossenen Netzwerken erlaubt","Software collection that enables monitoring, authentication, and logging within networks connected to the Internet"
Graphische Entwicklungsumgebung für Linux-Anwendungen RAD-Tool für Linux,Graphical development environment for Linux applications RAD tool for Linux
Videobearbeitung,video editing
Entscheidung,decision
Codegenerierung,code generation
Eclipse ist eine Open Source Entwicklungsumgebung für Java und weitere Sprachen,Eclipse is an open source development environment for Java and other languages.
"iTunes ist ein kostenloses Computerprogramm der Firma Apple zum Abspielen, Organisieren und Kaufen von Musik. iTunes läuft unter den Betriebssystemen Mac OS X, Windows 2000 oder Windows XP.","iTunes is a free computer program from Apple for playing, organizing, and purchasing music. iTunes runs on Mac OS X, Windows 2000, or Windows XP operating systems."
Systemverwaltung,Systemverwaltung
Versionsverwaltung,version control
Gedruckte Schaltung,Printed circuit
Datenbankverwaltung,database management
Übersetzungsspeicher,translation memory
Computerunterstützte Übersetzung,Computerunterstützte Übersetzung
"Computer game series, mainly consisting of computer role-playing games; there are also 2 novels (Greg Keyes: Die Höllenstadt, Der Seelenlord)",
Implementierung eines Applikation-Servers nach dem J2EE-Standard,Implementierung eines Applikation-Servers nach dem J2EE-Standard
Von Computing Technology Industry Association angebotene Spezialisierung,Specialization offered by the Computing Technology Industry Association
Virtualisierung,virtualization
Software für Videoeffekte,Video effects software
Mobiles Endgerät,Mobile device
Anonymisierung,anonymization
Software für mobile Computer,Software for mobile computers
"""GAnzheitliche BEwältigung von Komplexität""; an PC-supported procedure for the analysis, processing and presentation of normal language texts. Developed by Prof. Dr. Josef Zelger, University of Innsbruck. 1990 GABEK method presented to the public for the first time. Further development by the GABEK Society. The WinRelan software plays an important role in the evaluation of this qualitative research method.",
Validierung,validation
Programm zur Bauteil-Berechnung,Component calculation program
Parallelisierung,Parallelisierung
Software für Grafikanimation u. Videoeffekte,Software for graphic animation and video effects
"Münster Organizational Units, Roles and Identities Center","Münster Organizational Units, Roles and Identities Center"
Medienwissenschaft,media studies
LibreOffice ist eine im September 2010 aus dem Office-Paket OpenOffice.org hervorgegangene Abspaltung und wird seither unabhängig weiterentwickelt.,LibreOffice is a spin-off of the OpenOffice.org office suite that emerged in September 2010 and has been developed independently ever since.
Von Neumann architecture,Von Neumann architecture
Speicherprogrammierte Steuerung,Speicherprogrammierte Steuerung
AN/FSQ-7,
AN/FSQ-7 Combat Direction Central,
Konfigurationsverwaltung,configuration management
Entscheidungsunterstützungssystem,Entscheidungsunterstützungssystem
Produktionsplanung,production planning
The Talos Principle,
CAD Anwendung speziell für Architekturentwürfe und Visualisierung von Bauprojekten,CAD application specifically for architectural designs and visualization of construction projects
Produktgestaltung,product design
"PLM,Fertigung","PLM, Manufacturing"
Samsung Galaxy S22,
Samsung Galaxy S22+,
Samsung Galaxy S22Ultra,
Samsung Galaxy S23,
Samsung Galaxy S23+,
Samsung Galaxy S23Ultra,
Beschichtung,coating
Reinigung,cleaning
Polymercompoundierung,polymer compounding
Kunststoffverarbeitung,Kunststoffverarbeitung
Heizung,Heizung
Spritzgießen,injection molding
"Rost,Feuerung","Rust, combustion"
Laborgerät,laboratory equipment
Mühle,mill
Köhler professional,
Zerstäubung,atomization
Reibung,friction
Schmierung,lubrication
Zeitstandfestigkeit,creep resistance
Kriechfestigkeit,creep resistance
Werkstoffschädigung,Werkstoffschädigung
Nickellegierung,Nickellegierung
Superlegierung,superalloy
Legierung,alloy
Kupferlegierung,copper alloy
Materialmodellierung,material modeling
Hyperelastizität,Hyperelastizität
Entfestigung,Entfestigung
Spannungs-Dehnungs-Beziehung,stress-strain relationship
Gefülltes Elastomer,Filled elastomer
Festigkeit,strength
Kerbwirkung,notch effect
Münzmetall,coin metal
Verschleiß,wear
Instandhaltung,maintenance
Instandsetzung,Instandsetzung
Fügen,Join
Planung,planning
Versuchsplanung,experimental design
"Norm,Normung","Standard, standardization"
Erfindung,invention
Dienstleistung,Dienstleistung
Belastung,burden
Kitchen appliance,
Adhäsion,adhesion
Wärmeübertragung,
Strukturoptimierung,heat transfer
Elastizitätstheorie,theory of elasticity
Sümmer,summer
Geschwindigkeitsmessung,Geschwindigkeitsmessung
Optische Strömungsmesstechnik,Optical flow measurement technology
Mechanische Beanspruchung,Mechanische Beanspruchung
Reynoldssche Gleichung,Reynolds equation
Regelung,regulation
Auflösungsvermögen,resolution capacity
Winkelverteilung,Angular distribution
Messeinrichtung,Messeinrichtung
Sicherheitseinrichtung,Sicherheitseinrichtung
Entfernungsmessung,distance measurement
Messgerät,measuring device
Steuerung,control
Längenmessgerät,length measuring device
Signalverarbeitung,signal processing
Temperaturstrahlung,Temperaturstrahlung
Gärung,Fermentation
Fleischwarenherstellung,meat production
Fleischverarbeitung,meat processing
Lebensmitteluntersuchung,food inspection
Lebküchler,gingerbread baker
Lebküchner,gingerbread baker
Pfefferküchler,pepper cake baker
Lübeck marzipan,
Nahrung,Nahrung
Kindernahrung,Kindernahrung
Ernährungsberuf,nutrition profession
Nahrungsergänzungsmittel,dietary supplement
Entmischung,segregation
Diätetisches Lebensmittel,Dietetic food
Röse-Gottlieb method,
Likör,liqueur
Wörther Schloßbitter,Wörther Castle Bitter
Prince Pückler ice cream,
ice cream preparation named after the German writer Hermann Fürst von Pückler-Muskau,
Löwensen mustard fire,
Mechanische Eigenschaft,Mechanical property
Etherisches Öl,Essential oil
Oberländer,Upper German
Brühwurst,cooked sausage
Kräuterlikör,herbal liqueur
Pelz- und Lederberuf,fur and leather trade
Textilmaschinenführer,textile machine operator
Textilherstellung,textile manufacturing
"Collective term for body-hugging fashion and cuts that fit close to the body (see Hofer, Alfons: Textil- und Modelexikon under Body-Linie and Schierbaum, Wilfried: Bekleidungslexikon under Körpernaher Schnitt)",
Warenkennzeichnung,Warenkennzeichnung
"Fortbildungsabschluss im Tischlerhandwerk,Stellenwert  zwischen Geselle und Meister","Advanced training qualification in carpentry, ranking between journeyman and master craftsman"
Druck- und Papierberuf,Printing and paper industry
Druckformenherstellung,printing plate production
Glas- und Porzellanmaler,Glass and porcelain painter
Glas- und Porzellanmalerin,Glass and porcelain painter
Glas- und Kerammalerin,Glass and ceramic painter
Glas- und Kerammaler,Glass and ceramic painter
Mölders (D 186),
Destroyer Mölders,
Wasseraufbereitung,water treatment
Rückstand,backlog
Abfallwirtschaft,waste management
Abfallbeseitigung,waste disposal
Wasserreinigung,water purification
Feuerung,combustion
Kitchen waste shredder,
Verschmutzung,pollution
Abgasreinigung,exhaust gas purification
Abwasserreinigung,Abwasserreinigung
Abwasserleitung,sewer pipe
"Maria Immaculata, bicentenary celebration, Büren, Paderborn","Mary Immaculate, bicentennial celebration, Büren, Paderborn"
"Maria Immaculata,History 2004,Büren, Paderborn",
Weiden Kürten St. Anne's Chapel Anniversary 2007,
Bauzeichnung,architectural drawing
Ausstattung,Facilities
Säulenordnung,column order
Pöppelmann Medal,
Monument Prize of the Hypo-Kulturstiftung,
Imām-bar,Imām-bar
Heiden-Hüttchen,Heiden Hut
Heidenhütte,
"Heidenhaus,Heiden-Hüttchen",
Befestigung,fastening
Awarded for the first time in 1999 by Hamburg Messe und Congress GmbH in partnership with Hamburgische Electicitäts-Werke AG,
Deubau Prize for young architects,
Weißenhof Architecture Award,
Förderungspreis,Förderungspreis
Young architects in Hesse,
Hexastylos,
Öffentliches Gebäude,Public building
Versammlungsstätte,meeting place
Trüpfhaus,drip house
Hans Heinrich Müller Prize,
"Architecture competition of the German Eternit AG, Berlin; since 1995 awarded under the name Egon-Eiermann-Prize for German architecture students and young German architects, organized by Karl Krämer Verlag",
2004 for the first time by the Stiftung Thür. Castles and Gardens Foundation,
Städtebau,urban development
Fassadengestaltung,facade design
"Mülheim,Ruhrbania,Ruhr",
Hütte,hut
"Architecture prize for clients, awarded by the Bank für Tirol und Vorarlberg, first awarded in 1999.",
Festung,fortress
Hugo Häring Award,
Awards for good buildings in Baden-Württemberg,
Young Architects Award,
Wächter,guard
Tür,door
Überetscher style,
Dombauhütte,Dombauhütte
Kitchen,
Bemessung,dimensioning
Produktentwicklung,product development
Regeln der Technik,Rules of technology
Behandlung,
Fließgewässer,
Wärmeschutz,
Stoffeigenschaft,
Bodenverfestigung,
Straßenbau,
Maler und Lackierer,
Ingenieurleistung,
Erdgasgewinnung,
Erdölgewinnung,
Devastierung,
Landschaftszerstörung,
