Code,Field,Value,Signals,Reasons
gnd:4564741-0,Name,Young Dear Ship,1,suffix_patterns
gnd:4571780-1,Alternate Name,Bohlbrücke,1,umlaut/ß
gnd:4583606-1,Related Subjects,Verkehrszeichen,1,suffix_patterns
gnd:4628998-7,Name,Amélie Schiff,1,common_words:am
gnd:4641892-1,Alternate Name,Boules-des-Moulins,1,common_words:des
gnd:4647567-9,Related Subjects,Freimachung,1,suffix_patterns
gnd:4647577-1,Related Subjects,Freimachung,1,suffix_patterns
gnd:4647719-6,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:4647751-2,Related Subjects,Wertzeichen,1,suffix_patterns
gnd:4665699-6,Name,Joseph von Fraunhofer railroad train,1,common_words:von
gnd:4668926-6,Name,"Würzburg ship, 1883-1895",1,umlaut/ß
gnd:4672911-2,Related Subjects,Verkehrszeichen,1,suffix_patterns
gnd:4704921-2,Name,Count Götzen ship,1,umlaut/ß
gnd:4725269-8,Related Subjects,Straße,1,umlaut/ß
gnd:4728735-4,Name,Schönbrunn ship,1,umlaut/ß
gnd:4733149-5,Related Subjects,Postsendung,1,suffix_patterns
gnd:4733152-5,Related Subjects,Postsendung,1,suffix_patterns
gnd:4740784-0,Related Subjects,Wasserstraße,1,umlaut/ß
gnd:4742948-3,Name,Lötschberg ship,1,umlaut/ß
gnd:4765712-1,Related Subjects,Briefsendung,1,suffix_patterns
gnd:4768698-4,Related Subjects,Briefsendung,1,suffix_patterns
gnd:4776781-9,Related Subjects,Straße,1,umlaut/ß
gnd:4794386-5,Related Subjects,Postsendung,1,suffix_patterns
gnd:4800116-8,Related Subjects,Erdöltankschiff,1,umlaut/ß
gnd:4802472-7,Related Subjects,Postsendung,1,suffix_patterns
gnd:4802473-9,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:4802640-2,Related Subjects,Erdöltankschiff,1,umlaut/ß
gnd:4807753-7,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:4825121-5,Alternate Name,"Joh. L. Krüger,ship",1,umlaut/ß
gnd:4825688-2,Name,Kaufmann für Spedition und Logistikdienstleistung,3,"umlaut/ß;common_words:für,und;suffix_patterns"
gnd:4825688-2,Related Subjects,Kauffrau für Spedition und Logistikdienstleistung,3,"umlaut/ß;common_words:für,und;suffix_patterns"
gnd:4831768-8,Name,Eilzustellung,1,suffix_patterns
gnd:4831768-8,Related Subjects,Postzustellung,1,suffix_patterns
gnd:7519965-8,Name,Lisa from Lübeck Ship,1,umlaut/ß
gnd:7521245-6,Related Subjects,Transport- und Logistikberuf,1,common_words:und
gnd:7528169-7,Alternate Name,Josef Schürmann 12,1,umlaut/ß
gnd:7528169-7,Alternate Name,Jos. Schürmann 12,1,umlaut/ß
gnd:7532093-9,Name,"Alexander von Humboldt Ship, 1967-2004",1,common_words:von
gnd:7544085-4,Related Subjects,Fähre,1,umlaut/ß
gnd:7564886-6,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7564886-6,Related Subjects,Eilzustellung,1,suffix_patterns
gnd:7612179-3,Definition,"The wheeled boat RK XIV ""Oscar Huber"" was built in 1922. Until 1927 the boat was called ""Wilhelm von Oswald"", after 1927 ""Fritz Thyssen"" and from 1940 ""Oscar Huber"". After a shipyard overhaul, the boat was anchored at the Schifferbörse in 1973 as a floating maritime museum and was opened in 1974",2,umlaut/ß;common_words:von
gnd:7612179-3,Alternate Name,"Wilhelm von Oswald,Ship",1,common_words:von
gnd:7708008-7,Alternate Name,Gjöa,1,umlaut/ß
gnd:7751725-8,Name,Doulos Phos,1,suffix_patterns
gnd:7751725-8,Alternate Name,"Doulos,ship",1,suffix_patterns
gnd:7751725-8,Alternate Name,MV Doulos Phos,1,suffix_patterns
gnd:7751725-8,Alternate Name,MV Doulos,1,suffix_patterns
gnd:7751727-1,Related Subjects,Fähre,1,umlaut/ß
gnd:7751742-8,Related Subjects,Fähre,1,umlaut/ß
gnd:7755760-8,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7755763-3,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7755767-0,Related Subjects,Postsendung,1,suffix_patterns
gnd:7755768-2,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7755769-4,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7755771-2,Related Subjects,Postzustellung,1,suffix_patterns
gnd:7755772-4,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7756085-1,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7756087-5,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7756264-1,Related Subjects,Postwertzeichen,1,suffix_patterns
gnd:7840914-7,Related Subjects,Straße,1,umlaut/ß
gnd:1021656542,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1034988786,Name,Königssee railroad train,1,umlaut/ß
gnd:1034988786,Alternate Name,IC Königssee,1,umlaut/ß
gnd:1034988786,Alternate Name,FD Königssee,1,umlaut/ß
gnd:1037047052,Related Subjects,Transport- und Logistikberuf,1,common_words:und
gnd:1042954941,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1049483227,Alternate Name,"Rita Dölling,ship",1,umlaut/ß
gnd:104996845X,Related Subjects,Straße,1,umlaut/ß
gnd:1050038355,Name,Georg Büchner ship,1,umlaut/ß
gnd:1052161235,Alternate Name,DÜWAG large-capacity wagon,1,umlaut/ß
gnd:1059088991,Name,Wädensweil ship,1,umlaut/ß
gnd:1059088991,Alternate Name,Double screw steamer Wädensweil,1,umlaut/ß
gnd:1059088991,Alternate Name,"Wädenswil,ship",1,umlaut/ß
gnd:1070730971,Alternate Name,"Peter von Danczk,ship",1,common_words:von
gnd:1079607323,Related Subjects,Erdöltankschiff,1,umlaut/ß
gnd:1135501823,Related Subjects,Erdöltankschiff,1,umlaut/ß
gnd:113838299X,Related Subjects,Öffentlicher Personennahverkehr,1,umlaut/ß
gnd:1251755933,Related Subjects,Autofähre,1,umlaut/ß
gnd:1253090688,Definition,Zweijährige Ausbildung,2,umlaut/ß;suffix_patterns
gnd:4310807-6,Related Subjects,Gaststätte,1,umlaut/ß
gnd:4332733-3,Related Subjects,Gaststätte,1,umlaut/ß
gnd:4338642-8,Related Subjects,Speiseplanung,1,suffix_patterns
gnd:4382926-0,Related Subjects,Gaststätte,1,umlaut/ß
gnd:4386072-2,Related Subjects,Gaststätte,1,umlaut/ß
gnd:4762981-2,Related Subjects,Gaststätte,1,umlaut/ß
gnd:7518647-0,Related Subjects,Gaststätte,1,umlaut/ß
gnd:7576603-6,Related Subjects,Gaststätte,1,umlaut/ß
gnd:7676031-5,Name,Hunauhütte anniversary 2006,1,umlaut/ß
gnd:7676031-5,Alternate Name,"Hunauhütte,History 2006",1,umlaut/ß
gnd:7690406-4,Related Subjects,Gaststätte,1,umlaut/ß
gnd:7690406-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7707139-6,Related Subjects,Gaststätte,1,umlaut/ß
gnd:7839863-0,Name,Tourismuskaufmann (Kaufmann für Privat- und Geschäftsreisen),2,"umlaut/ß;common_words:für,und"
gnd:7839863-0,Related Subjects,Tourismuskauffrau (Kauffrau für Privat- und Geschäftsreisen),2,"umlaut/ß;common_words:für,und"
gnd:105147812X,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4134979-9,Related Subjects,Umweltbelastung,1,suffix_patterns
gnd:4226118-1,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4346327-7,Related Subjects,Umweltbelastung,1,suffix_patterns
gnd:4347192-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4368705-2,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4403308-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4505607-9,Related Subjects,Nachhaltigkeit,1,suffix_patterns
gnd:4539617-6,Definition,"Development project of Forschungszentrum Jülich on behalf of the Federal Ministry of Education, Science, Research and Technology",2,umlaut/ß;suffix_patterns
gnd:4555381-6,Related Subjects,Umweltbelastung,1,suffix_patterns
gnd:4631926-8,Name,Carl Friedrich von Martius Environmental Award,1,common_words:von
gnd:4631926-8,Alternate Name,Carl Friedrich von Martius Environmental Award,1,common_words:von
gnd:4631926-8,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4689101-8,Related Subjects,Nachhaltigkeit,1,suffix_patterns
gnd:4700114-8,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4709398-5,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4757858-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4824520-3,Name,Environmental award for companies in Baden-Württemberg,1,umlaut/ß
gnd:4824520-3,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7582574-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7705788-0,Related Subjects,Umweltbelastung,1,suffix_patterns
gnd:7724590-8,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7735764-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1046878999,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1138729418,Related Subjects,Nachhaltigkeit,1,suffix_patterns
gnd:1176540750,Related Subjects,Umweltbelastung,1,suffix_patterns
gnd:1182373372,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1252696779,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1260056074,Related Subjects,Verunreinigung,1,suffix_patterns
gnd:1260056074,Related Subjects,Umweltverschmutzung,1,suffix_patterns
gnd:1265687862,Name,Münster Environmental Award,1,umlaut/ß
gnd:1265687862,Alternate Name,Environmental Award of the City of Münster,1,umlaut/ß
gnd:1265687862,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1265711887,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1283980622,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1283988739,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4049348-9,Name,Rekultivierung,1,suffix_patterns
gnd:4070873-1,Related Subjects,Raumordnung,1,suffix_patterns
gnd:4125606-2,Related Subjects,Raumordnung,1,suffix_patterns
gnd:4127604-8,Related Subjects,Raumordnung,1,suffix_patterns
gnd:4158358-9,Related Subjects,Grünfläche,1,umlaut/ß
gnd:4182743-0,Related Subjects,Begrünung,2,umlaut/ß;suffix_patterns
gnd:4291374-3,Related Subjects,Grüngürtel,1,umlaut/ß
gnd:4300732-6,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4349737-8,Related Subjects,Landesplanung,1,suffix_patterns
gnd:4504694-3,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4618913-0,Related Subjects,Nachhaltigkeit,1,suffix_patterns
gnd:4618913-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4648878-9,Related Subjects,Natur- und Landschaftspfleger,1,common_words:und
gnd:4672568-4,Related Subjects,Stadtentwicklung,1,suffix_patterns
gnd:4679877-8,Related Subjects,Naturnahe Gestaltung,1,suffix_patterns
gnd:4679877-8,Related Subjects,Rekultivierung,1,suffix_patterns
gnd:4700381-9,Related Subjects,Stadtplanung,1,suffix_patterns
gnd:4700381-9,Related Subjects,Stadtsanierung,1,suffix_patterns
gnd:4745244-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4842800-0,Related Subjects,Landschaftsplanung,1,suffix_patterns
gnd:4842800-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7526656-8,Related Subjects,Dorferneuerung,1,suffix_patterns
gnd:7526656-8,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7577300-4,Related Subjects,Stadtentwicklung,1,suffix_patterns
gnd:7616673-9,Related Subjects,Gartengestaltung,1,suffix_patterns
gnd:7616673-9,Related Subjects,Landschaftsplanung,1,suffix_patterns
gnd:7700528-4,Related Subjects,Landschaftsgestaltung,1,suffix_patterns
gnd:7700528-4,Related Subjects,Landschaftsplanung,1,suffix_patterns
gnd:7740548-1,Related Subjects,Stadtentwicklung,1,suffix_patterns
gnd:7751975-9,Related Subjects,Regionalförderung,2,umlaut/ß;suffix_patterns
gnd:7751975-9,Related Subjects,Großprojekt,1,umlaut/ß
gnd:7757653-6,Related Subjects,Förderungsprogramm,1,umlaut/ß
gnd:7757653-6,Related Subjects,Stadtsanierung,1,suffix_patterns
gnd:7758371-1,Related Subjects,Regionalförderung,2,umlaut/ß;suffix_patterns
gnd:7758371-1,Related Subjects,Großprojekt,1,umlaut/ß
gnd:1050587308,Related Subjects,Raumordnung,1,suffix_patterns
gnd:1050587308,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1061057097,Related Subjects,Stadtplanung,1,suffix_patterns
gnd:1079496033,Related Subjects,Stadtentwicklung,1,suffix_patterns
gnd:118494816X,Related Subjects,Raumordnung,1,suffix_patterns
gnd:1184948496,Related Subjects,Raumordnung,1,suffix_patterns
gnd:1191539512,Related Subjects,Stadtplanung,1,suffix_patterns
gnd:122542318X,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:122542318X,Related Subjects,Regionalplanung,1,suffix_patterns
gnd:4631871-9,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7540844-2,Related Subjects,Kauffrau in der Grundstücks- und Wohnungswirtschaft,3,"umlaut/ß;common_words:der,und;suffix_patterns"
gnd:7540849-1,Related Subjects,Kaufmann in der Grundstücks- und Wohnungswirtschaft,3,"umlaut/ß;common_words:der,und;suffix_patterns"
gnd:1140667610,Related Subjects,Immobilienwirtschaft,1,suffix_patterns
gnd:4225818-2,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4225819-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4504593-8,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4541700-3,Name,Strukturbildung,1,suffix_patterns
gnd:4541700-3,Related Subjects,Musterbildung,1,suffix_patterns
gnd:4614004-9,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4740846-7,Name,Kyffhäuser large-scale nature conservation project in the Kyffhäuser Nature Park,1,umlaut/ß
gnd:4740846-7,Alternate Name,Kyffhäuser large-scale nature conservation project,1,umlaut/ß
gnd:4740846-7,Alternate Name,Kyffhäuser large-scale nature conservation project,1,umlaut/ß
gnd:4776870-8,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4810448-6,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4814427-7,Name,Large-scale nature conservation project in the Thuringian Rhön,1,umlaut/ß
gnd:4814930-5,Related Subjects,Musterbildung,1,suffix_patterns
gnd:7531035-1,Related Subjects,Förderungsprogramm,1,umlaut/ß
gnd:7576879-3,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7621240-3,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1294793950,Definition,Awarded annually since 1993 by the Gesellschaft Deutscher Chemiker and the Deutsche Bunsen-Gesellschaft für Physikalische Chemie for outstanding work on the history of scientific instruments,3,umlaut/ß;common_words:für;suffix_patterns
gnd:1294793950,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4284978-0,Alternate Name,Collection des Guides-Joanne,1,common_words:des
gnd:4288305-2,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:7786441-4,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7787546-1,Alternate Name,Jan-Wellem-Ring of the city of Düsseldorf,1,umlaut/ß
gnd:7787546-1,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4331941-5,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4343639-0,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:4353164-7,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4371731-7,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:4381446-3,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4382090-6,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4417983-2,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4422847-8,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:4428185-7,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4467204-4,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4484498-0,Related Subjects,Geschützte Natur,1,umlaut/ß
gnd:4668937-0,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:4748621-1,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4748623-5,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4754468-5,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4809492-4,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4809496-1,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:4818493-7,Related Subjects,Naturlandschaft,1,suffix_patterns
gnd:4818493-7,Related Subjects,Kulturlandschaft,1,suffix_patterns
gnd:7501588-2,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:7501589-4,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:7501590-0,Related Subjects,Himmelsrichtung,1,suffix_patterns
gnd:7549471-1,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:7595463-1,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:7670629-1,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:7849420-5,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:1054413029,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1156741300,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1215271336,Related Subjects,Kulturraumforschung,1,suffix_patterns
gnd:1229526412,Definition,Joseph Kuhl Society Homeland Prize for special services to the city of Jülich,2,umlaut/ß;suffix_patterns
gnd:1229526412,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:1283890968,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4207457-5,Related Subjects,Abgrusung,1,suffix_patterns
gnd:4356439-2,Name,Moorlandschaft,1,suffix_patterns
gnd:4356439-2,Related Subjects,Landschaft,1,suffix_patterns
gnd:4559566-5,Related Subjects,Landschaftsökologie,1,umlaut/ß
gnd:7612241-4,Related Subjects,Verwitterung,1,suffix_patterns
gnd:4056730-8,Name,Stadtentwicklung,1,suffix_patterns
gnd:4056730-8,Related Subjects,Stadtplanung,1,suffix_patterns
gnd:4077814-9,Alternate Name,Grätzl,1,umlaut/ß
gnd:4125924-5,Related Subjects,Großstadt,1,umlaut/ß
gnd:4166614-8,Related Subjects,Siedlung,1,suffix_patterns
gnd:4223823-7,Name,Gräftenhof,1,umlaut/ß
gnd:4306741-4,Related Subjects,Siedlung,1,suffix_patterns
gnd:4517244-4,Related Subjects,Stadtentwicklung,1,suffix_patterns
gnd:4673746-7,Related Subjects,Wohnsiedlung,1,suffix_patterns
gnd:1300924810,Related Subjects,Siedlung,1,suffix_patterns
gnd:4172896-8,Name,Ortung,1,suffix_patterns
gnd:4197422-0,Related Subjects,Fernerkundung,1,suffix_patterns
gnd:4498848-5,Related Subjects,Katastervermessung,1,suffix_patterns
gnd:1031122559,Related Subjects,Kartierung,1,suffix_patterns
gnd:1181826055,Related Subjects,Geodätisches Instrument,1,umlaut/ß
gnd:1240929943,Related Subjects,Geodätisches Instrument,1,umlaut/ß
gnd:4064734-1,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:7762097-5,Name,Blänke,1,umlaut/ß
gnd:4463753-6,Related Subjects,Eutrophierung,1,suffix_patterns
gnd:4496880-2,Related Subjects,Wasserversorgung,1,suffix_patterns
gnd:4500866-8,Related Subjects,Gewässer,1,umlaut/ß
gnd:102399321X,Related Subjects,Wasserverschmutzung,1,suffix_patterns
gnd:4332800-3,Name,Würzburg lying stones,1,umlaut/ß
gnd:4468028-4,Related Subjects,Fossile Armfüßer,1,umlaut/ß
gnd:4539532-9,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4552088-4,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4602034-2,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4605822-9,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4605823-0,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4613988-6,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4651524-0,Name,Friedrich von Alberti Prize,1,common_words:von
gnd:4651524-0,Alternate Name,Friedrich von Alberti Prize,1,common_words:von
gnd:4651524-0,Related Subjects,Paläontologie,1,umlaut/ß
gnd:4651524-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4663149-5,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4711683-3,Related Subjects,Fossile Armfüßer,1,umlaut/ß
gnd:4713148-2,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:4824189-1,Related Subjects,Fossile Kopffüßer,1,umlaut/ß
gnd:7518642-1,Related Subjects,Fossile Vögel,1,umlaut/ß
gnd:7593751-7,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:7672482-7,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:7696899-6,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:103198643X,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:1031987002,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:104254333X,Related Subjects,Fossile Säugetiere,1,umlaut/ß
gnd:1113682744,Alternate Name,Wiehengebirgsjäger,1,umlaut/ß
gnd:1132173361,Definition,Largest known ammonite species in the history of the earth; the first specimen found is in the LWL-Museum für Naturkunde in Münster (Westf),2,umlaut/ß;common_words:für
gnd:1136638806,Related Subjects,Fossile Wiederkäuer,1,umlaut/ß
gnd:1238193889,Related Subjects,Fossile Kopffüßer,1,umlaut/ß
gnd:4132781-0,Name,Gräfenberg array,1,umlaut/ß
gnd:4291748-7,Related Subjects,Tiefseebohrung,1,suffix_patterns
gnd:4294478-8,Related Subjects,Krustenbewegung,1,suffix_patterns
gnd:4485022-0,Related Subjects,Strahlengleichung,1,suffix_patterns
gnd:4619283-9,Related Subjects,Krustenbewegung,1,suffix_patterns
gnd:4790018-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:4127180-4,Alternate Name,Würm glacial period,1,umlaut/ß
gnd:4146183-6,Name,Böhlen layers,1,umlaut/ß
gnd:4146183-6,Alternate Name,Böhlen layers,1,umlaut/ß
gnd:4261666-9,Related Subjects,Pleistozän,1,umlaut/ß
gnd:4412256-1,Name,Dülmen layers,1,umlaut/ß
gnd:4427446-4,Name,Röt shell limestone boundary,1,umlaut/ß
gnd:4517973-6,Related Subjects,Obereozän,1,umlaut/ß
gnd:4517977-3,Related Subjects,Obereozän,1,umlaut/ß
gnd:4742863-6,Definition,Stufe des Eozäns,2,umlaut/ß;common_words:des
gnd:4060051-8,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4060051-8,Related Subjects,Bohrung,1,suffix_patterns
gnd:4143591-6,Name,Auslaugung,1,suffix_patterns
gnd:4323181-0,Related Subjects,"Preis,Auszeichnung",1,suffix_patterns
gnd:7763148-1,Alternate Name,Glasschörl,1,umlaut/ß
gnd:4467456-9,Related Subjects,Krustenbildung,1,suffix_patterns
gnd:4479873-8,Name,Höttinger Breccie,1,umlaut/ß
gnd:4479873-8,Alternate Name,Höttinger breccia,1,umlaut/ß
gnd:4498948-9,Related Subjects,Höhle,1,umlaut/ß
gnd:4499233-6,Related Subjects,Vergrusung,1,suffix_patterns
gnd:4668594-7,Related Subjects,Rotgültigerz,1,umlaut/ß
gnd:4800091-7,Related Subjects,Sulfidlagerstätte,1,umlaut/ß
gnd:4997234-0,Related Subjects,Tiefbohrung,1,suffix_patterns
gnd:7710874-7,Name,Aachen bluestone,1,suffix_patterns
gnd:1063885841,Name,Kallmünz geology,1,umlaut/ß
gnd:1063885841,Alternate Name,"Kalmünzer,Geology",1,umlaut/ß
gnd:1071850369,Definition,"An ore whose main deposit is located in Central Africa and from which the metal tantalum (Ta) is primarily extracted. The name ""coltan"" is derived from the mineral group columbite-tantalite (coltan = short form). Columbite itself (according to Römpp) is a niobite and tantalite. Coltan is classified as a conflict mineral. Coltan mining in the Congo is mainly concentrated in the Lake Kivu region in the Democratic Republic of the Congo. Internationally known since 2004 due to the battles over exploitation rights between Rwanda and Congo. Coltan is a necessary raw material for the computer and cell phone industry.",2,umlaut/ß;common_words:an
gnd:116196620X,Related Subjects,Rotgültigerz,1,umlaut/ß
gnd:119076704X,Name,Römerite,1,umlaut/ß
gnd:1193218659,Alternate Name,Rädelerz,1,umlaut/ß
gnd:1193218659,Alternate Name,Rädlerz,1,umlaut/ß
